player_id,player_name_last_first,season,team_abbrev,pitch_hand,num_pitches,four_seam_speed,four_seam_spin,four_seam_pct,sinker_speed,sinker_spin,sinker_pct,cutter_speed,cutter_spin,cutter_pct,slider_speed,slider_spin,slider_pct,change_up_speed,change_up_spin,change_up_pct,curve_speed,curve_spin,curve_pct,splitter_speed,splitter_spin,splitter_pct,plate_appearances
424144,"Pérez, Oliver",2020,CLE,L,281,89.5,2152,0.138790036,90,2114,0.430604982,NULL,NULL,0,76.1,2193,0.430604982,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,72
425794,"Wainwright, Adam",2020,STL,R,930,89.2,2218,0.092473118,89.3,2188,0.270967742,85,2343,0.229032258,NULL,NULL,0,81.9,1683,0.024731183,73.5,2791,0.382795699,NULL,NULL,0,262
425844,"Greinke, Zack",2020,HOU,R,1060,88.1,2329,0.43373494,89.7,2259,0.001004016,NULL,NULL,0,84.5,2422,0.170682731,86.2,1679,0.232931727,70.6,2428,0.161646586,NULL,NULL,0,273
430935,"Hamels, Cole",2020,ATL,L,52,88.4,2061,0.153846154,87.9,1995,0.096153846,85.8,1940,0.307692308,NULL,NULL,0,80.9,1595,0.288461538,75.8,2189,0.153846154,NULL,NULL,0,14
433589,"Petit, Yusmeiro",2020,OAK,R,315,88.1,2134,0.425396825,NULL,NULL,0,84.4,2133,0.285714286,NULL,NULL,0,81.2,1753,0.180952381,74.3,2000,0.107936508,NULL,NULL,0,88
434378,"Verlander, Justin",2020,HOU,R,73,94.9,2524,0.547945205,NULL,NULL,0,NULL,NULL,0,87,2545,0.369863014,87.2,1920,0.068493151,78.9,2819,0.01369863,NULL,NULL,0,21
434671,"Sánchez, Aníbal",2020,WSH,R,971,89.2,2148,0.285272915,89.7,2083,0.086508754,87.3,2189,0.210092688,NULL,NULL,0,69.6,1261,0.064881565,76.3,2027,0.061791967,81.8,1544,0.291452111,245
435522,"Walker, Neil",2020,PHI,R,14,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,71.6,1935,1,NULL,NULL,0,3
444468,"Rondón, Héctor",2020,ARI,R,390,95.7,2045,0.492307692,95.3,1985,0.102564103,NULL,NULL,0,85.4,2290,0.369230769,88.3,1719,0.035897436,NULL,NULL,0,NULL,NULL,0,97
445213,"Kintzler, Brandon",2020,MIA,R,343,92,1903,0.014577259,91.3,1942,0.743440233,NULL,NULL,0,84.6,2322,0.104956268,86,2068,0.137026239,NULL,NULL,0,NULL,NULL,0,101
445276,"Jansen, Kenley",2020,LAD,R,446,NULL,NULL,0,92.3,2224,0.284753363,90.9,2553,0.618834081,81.6,2334,0.096412556,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,102
445926,"Chavez, Jesse",2020,TEX,R,305,91,2189,0.068852459,91.1,2144,0.4,89,2281,0.337704918,83.4,2268,0.140983607,85.2,1988,0.052459016,NULL,NULL,0,NULL,NULL,0,77
446321,"Detwiler, Ross",2020,CWS,L,311,91.9,2303,0.276527331,91,2169,0.292604502,NULL,NULL,0,83.2,2187,0.305466238,85.2,1726,0.093247588,77.9,2166,0.032154341,NULL,NULL,0,81
446372,"Kluber, Corey",2020,TEX,R,18,91.5,2431,0.055555556,91.5,2167,0.444444444,88.4,2468,0.166666667,NULL,NULL,0,83.6,1584,0.055555556,83.4,2525,0.277777778,NULL,NULL,0,3
448179,"Hill, Rich",2020,MIN,L,619,87.8,2393,0.455,85.9,2343,0.026666667,83.2,2438,0.036666667,71.5,2781,0.035,83.4,1724,0.005,72.7,2848,0.441666667,NULL,NULL,0,156
448281,"Doolittle, Sean",2020,WSH,L,127,90.7,2187,0.818897638,NULL,NULL,0,NULL,NULL,0,80.6,2241,0.125984252,NULL,NULL,0,NULL,NULL,0,81.2,1912,0.05511811,36
448855,"Guerra, Junior",2020,ARI,R,404,93.9,2495,0.331683168,94.1,2388,0.274752475,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,81.8,2720,0.217821782,86.1,1244,0.175742574,103
450172,"Vólquez, Edinson",2020,TEX,R,108,94.3,2390,0.092592593,94.3,2315,0.416666667,NULL,NULL,0,NULL,NULL,0,83.8,1183,0.305555556,81.6,2733,0.185185185,NULL,NULL,0,26
450203,"Morton, Charlie",2020,TB,R,660,93.4,2349,0.354545455,93,2157,0.209090909,85,2347,0.087878788,NULL,NULL,0,NULL,NULL,0,78.2,2887,0.327272727,85.9,2036,0.021212121,170
451584,"Davis, Wade",2020,COL,R,119,91.4,2550,0.470588235,NULL,NULL,0,88.1,2695,0.218487395,NULL,NULL,0,85.7,1964,0.12605042,81.3,2441,0.18487395,NULL,NULL,0,25
452657,"Lester, Jon",2020,CHC,L,1008,89.4,2217,0.277777778,88.6,2086,0.140873016,87.4,2350,0.318452381,NULL,NULL,0,83.4,1905,0.134920635,73.4,2569,0.12797619,NULL,NULL,0,265
453172,"Hughes, Jared",2020,NYM,R,412,92.2,2136,0.077669903,91.3,2009,0.514563107,NULL,NULL,0,NULL,NULL,0,84.3,1553,0.143203883,80.8,2050,0.264563107,NULL,NULL,0,109
453178,"Kennedy, Ian",2020,KC,R,261,93.6,2466,0.498084291,93.1,2588,0.003831418,89.8,2209,0.318007663,NULL,NULL,0,86.7,1851,0.072796935,80.5,2568,0.107279693,NULL,NULL,0,69
453192,"Miller, Andrew",2020,STL,L,205,89.6,2124,0.302439024,92.3,2048,0.097560976,NULL,NULL,0,80.1,2605,0.6,NULL,NULL,0,NULL,NULL,0,NULL,NULL,0,55
453265,"Watson, Tony",2020,SF,L,280,89.9,2344,0.039285714,89.8,2298,0.342857143,NULL,NULL,0,81.2,2302,0.139285714,84.1,2279,0.478571429,NULL,NULL,0,NULL,NULL,0,73
453268,"Bard, Daniel",2020,COL,R,404,97.1,2712,0.435643564,96.8,2533,0.128712871,NULL,NULL,0,87.6,2815,0.309405941,89.7,2126,0.126237624,NULL,NULL,0,NULL,NULL,0,106
